Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
2333,Sexual Offences Act 2003 ,"S.25(1)(e)(i), (2), (3), (5) & (6) / S.25(1)(e)(ii), (2) - (4)(a) & (6) / S.25(1)(e)(ii), (2) - (4)(a) & (6)","Sexual activity with a male child family member - offender under 18 at time of offence and victim 13-17 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03184 / Sexual activity with a female child family member - offender 18 or over at time of offence and victim under 13 - penetration / CJS: SX03064 / Sexual activity with a male child family member - offender 18 or over at time of offence and victim under 13 - penetration / CJS: SX03065",6 months or L5 or both / - / -,S 23/33 / S 23/14 / S 23/15,S 23/33 / S 23/14 / S 23/15,S 23/33 / - / -,5 years / 14 years / 14 years,S 23/33 / S 23/14 / S 23/15,S 23/33 / - / -,Yes,2009 or earlier
2316,Sexual Offences Act 2003,"S.25(1)(e)(ii), (2), (3) & (5)",Sexual activity with a female child family member - offender under 18 at time of offence and victim under 13 Ð no penetration / CJS: SX03062,6 months or L5 or both,S 23/16,S 23/16,S 23/16,5 years,S 23/16,S 23/16 ,Yes,2009 or earlier
2317,Sexual Offences Act 2003 ,"S.25(1)(e)(ii), (2), (3) & (5)",Sexual activity with a male child family member - offender under 18 at time of offence and victim under 13 Ð no penetration / CJS: SX03063,6 months or L5 or both,S 23/17,S 23/17,S 23/17,5 years,S 23/17,S 23/17 ,Yes,2009 or earlier
2330,Sexual Offences Act 2003 ,"S.25(1)(e)(ii), (2), (3), (5) & (6)","Sexual activity with a female child family member - offender under 18 at time of offence and victim under 13 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03181",6 months or L5 or both,S 23/30,S 23/30,S 23/30,5 years,S 23/30,S 23/30,Yes,2009 or earlier
2331,Sexual Offences Act 2003 ,"S.25(1)(e)(ii), (2), (3), (5) & (6)","Sexual activity with a male child family member - offender under 18 at time of offence and victim under 13 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03182",6 months or L5 or both,S 23/31,S 23/31,S 23/31,5 years,S 23/31,S 23/31,Yes,2009 or earlier
2324,Sexual Offences Act 2003,"S.25(1)(e)(ii), (2), (3) & (4)(b)",Sexual activity with a female child family member - offender 18 or over at time of offence and victim under 13 - no penetration / CJS: SX03172,6 months or L5 or both,S 23/24,S 23/24,S 23/24,14 years,S 23/24,S 23/24,Yes,2009 or earlier
2325,Sexual Offences Act 2003 ,"S.25(1)(e)(ii), (2), (3) & (4)(b)",Sexual activity with a male child family member - offender 18 or over at time of offence and victim under 13 - no penetration / CJS: SX03173,6 months or L5 or both,S 23/25,S 23/25,S 23/25,14 years,S 23/25,S 23/25,Yes,2009 or earlier
2326,Sexual Offences Act 2003 ,"S.26(1)(e)(i), (2), (3) & (4)(b)",Inciting a female child family member to engage in sexual activity - offender 18 or over at time of offence and victim 13-17 - no penetration / CJS: SX03178,6 months or L5 or both,S 23/26,S 23/26,S 23/26,14 years,S 23/26,S 23/26,Yes,2009 or earlier
2327,Sexual Offences Act 2003 ,"S.26(1)(e)(i), (2), (3) & (4)(b) / S.26(1)(e)(i), (2), (3) & (4)(a) & (6) / S.26(1)(e)(i), (2), (3) & (4)(a) & (6)",Inciting a male child family member to engage in sexual activity - offender 18 or over at time of offence and victim 13-17 - no penetration / CJS: SX03179 / Inciting a female child family member to engage in sexual activity - offender 18 or over at time of offence and victim 13-17 - penetration / CJS: SX03076 / Inciting a male child family member to engage in sexual activity - offender 18 or over at time of offence and victim 13-17 - penetration / CJS: SX03077,6 months or L5 or both / - / -,S 23/27 / S 23/08 / S 23/09,S 23/27 / S 23/08 / S 23/09,S 23/27 / - / -,14 years / 14 years / 14 years ,S 23/27 / S 23/08 / S 23/09,S 23/27 / - / -,Yes,2009 or earlier
2310,Sexual Offences Act 2003 ,"S.26(1)(e)(i), (2), (3) and (5)",Inciting a female child family member to engage in sexual activity - offender under 18 at time of offence and victim 13-17 Ð no penetration / CJS: SX03074,6 months or L5 or both,S 23/10,S 23/10,S 23/10,5 years,S 23/10,S 23/10,Yes,2009 or earlier
2311,Sexual Offences Act 2003 ,"S.26(1)(e)(i), (2), (3) and (5)",Inciting a male child family member to engage in sexual activity - offender under 18 at time of offence and victim 13-17 Ð no penetration / CJS: SX03075,6 months or L5 or both,S 23/11,S 23/11,S 23/11,5 years,S 23/11,S 23/11,Yes,2009 or earlier
2336,Sexual Offences Act 2003 ,"S.26(1)(e)(i), (2), (3), (5) & (6)","Inciting a female child family member to engage in sexual activity - offender under 18 at time of offence and victim 13-17 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03187",6 months or L5 or both,S 23/36,S 23/36,S 23/36,5 years,S 23/36,S 23/36,Yes,2009 or earlier
2337,Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 ,"S.26(1)(e)(i), (2), (3), (5) & (6) / S.26(1)(e)(ii), (2) to (4)(a) & (6) / S.26(1)(e)(ii), (2) to (4)(a) & (6)","Inciting a male child family member to engage in sexual activity - offender under 18 at time of offence and victim 13-17 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03188 / Inciting a female child family member to engage in sexual activity - offender 18 or over at time of offence and victim under 13 - penetration / CJS: SX03072 / Inciting a male child family member to engage in sexual activity - offender 18 or over at time of offence and victim under 13 - penetration / CJS: SX03073",6 months or L5 or both / - / -,S 23/37 / S 23/18 / S 23/19,S 23/37 / S 23/18 / S 23/19,S 23/37 / - / -,5 years / 14 years / 14 years,S 23/37 / S 23/18 / S 23/19,S 23/37 / - / -,Yes,2009 or earlier
2320,Sexual Offences Act 2003 ,"S.26(1)(e)(ii), (2), (3) & (5)",Inciting a female child family member to engage in sexual activity - offender under 18 at time of offence and victim under 13 Ð no penetration / CJS: SX03070,6 months or L5 or both,S 23/20,S 23/20,S 23/20,5 years,S 23/20,S 23/20,Yes,2009 or earlier
2321,Sexual Offences Act 2003,"S.26(1)(e)(ii), (2), (3) & (5)",Inciting a male child family member to engage in sexual activity - offender under 18 at time of offence and victim under 13 Ð no penetration / CJS: SX03071,6 months or L5 or both,S 23/21,S 23/21,S 23/21,5 years,S 23/21,S 23/21,Yes,2009 or earlier
2334,Sexual Offences Act 2003 ,"S.26(1)(e)(ii), (2), (3), (5) & (6)","Inciting a female child family member to engage in sexual activity - offender under 18 at time of offence and victim under 13 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03185",6 months or L5 or both,S 23/34,S 23/34,S 23/34,5 years,S 23/34,S 23/34,Yes,2009 or earlier
2335,Sexual Offences Act 2003,"S.26(1)(e)(ii), (2), (3), (5) & (6)","Inciting a male child family member to engage in sexual activity - offender under 18 at time of offence and victim under 13 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03186",6 months or L5 or both,S 23/35,S 23/35,S 23/35,5 years,S 23/35,S 23/35,Yes,2009 or earlier
2328,Sexual Offences Act 2003,S.26(1)(e)(ii) & (2) - (4)(b),Inciting a female child family member to engage in sexual activity - offender 18 or over at time of offence and victim under 13 - no penetration / CJS: SX03176,6 months or L5 or both,S 23/28,S 23/28,S 23/28,14 years,S 23/28,S 23/28,Yes,2009 or earlier
2329,Sexual Offences Act 2003 ,"S.26(1)(e)(ii) & (2) - (4)(b) / S.30(1) - (3) / S.30(1) - (3) / S.30(1), (2) & (4) / S.30(1), (2) & (4) / S.31(1) - (3) / S.31(1) - (3) / S.31(1), (2) & (4) / S.31(1), (2) & (4) / S.32 / S.33 / S.34(1) & (2) / S.34(1) & (3) / S.35(1) & (2) / S.35(1) & (3)","Inciting a male child family member to engage in sexual activity - offender 18 or over at time of offence and victim under 13 - no penetration / CJS: SX03177 / Sexual activity with a male person with a mental disorder impeding choice - penetration / CJS: SX03081 / Sexual activity with a female person with a mental disorder impeding choice - penetration / CJS: SX03080 / Sexual activity with a male person with a mental disorder impeding choice - no penetration / CJS: SX03079 / Sexual activity with a female person with a mental disorder impeding choice - no penetration / CJS: SX03078 / Causing or inciting a male person with a mental disorder impeding choice to engage in sexual activity - penetration / CJS: SX03085 / Causing or inciting a female person with a mental disorder impeding choice to engage in sexual activity - penetration / CJS: SX03084 / Causing or inciting a male person with a mental disorder impeding choice to engage in sexual activity - no penetration / CJS: SX03083 / Causing or inciting a female person with a mental disorder impeding choice to engage in sexual activity - no penetration / CJS: SX03082 / Engaging in sexual activity in the presence of a person with a mental disorder impeding choice / CJS: SX03086 / Causing a person with a mental disorder impeding choice to watch a sexual act / CJS: SX03087 / Inducement, threat or deception to procure sexual activity with a person with a mental disorder - penetration / CJS: SX03089 / Inducement, threat or deception to procure sexual activity with a person with a mental disorder - no penetration / CJS: SX03088 / Causing a person with a mental disorder to engage in sexual activity by inducement, threat or deception - penetration / CJS: SX03091 / Causing a person with a mental disorder to engage in sexual activity by inducement, threat or deception - no penetration / CJS: SX03090",6 months or L5 or both / - / - / - / - / - / - / - / - / - / - / - / - / - / 6 months or L5 or both,S 23/29 / S 70/01 / S 70/02 / S 70/03 / S 70/04 / S 70/05 / S 70/06 / S 70/07 / S 70/08 / S 70/09 / S 70/10 / S 70/11 / S 70/12 / S 70/13 / S 70/14,S 23/29 / S 70/01 / S 70/02 / S 70/03 / S 70/04 / S 70/05 / S 70/06 / S 70/07 / S 70/08 / S 70/09 / S 70/10 / S 70/11 / S 70/12 / S 70/13 / S 70/14,S 23/29 / - / - / - / - / - / - / - / - / - / - / - / - / - / -,14 years / Life / Life / 14 years / 14 years / Life / Life / 14 years / 14 years / 10 years / 10 years / Life / 14 years / Life / 14 years ,S 23/29 / S 70/01 / S 70/02 / S 70/03 / S 70/04 / S 70/05 / S 70/06 / S 70/07 / S 70/08 / S 70/09 / S 70/10 / S 70/11 / S 70/12 / S 70/13 / S 70/14,S 23/29 / - / - / - / - / - / - / - / - / - / - / - / - / - / -,Yes,2009 or earlier
7015,Sexual Offences Act 2003 ,S.36,"Engaging in sexual activity in the presence, procured by inducement, threat or deception, of a person with a mental disorder / CJS: SX03092",6 months or L5 or both,S 70/15,S 70/15,S 70/15,10 Years ,S 70/15,S 70/15,Yes,2009 or earlier
7016,Sexual Offences Act 2003 ,S.37 / S.38(1) - (3) / S.38(1) - (3),"Causing a person with a mental disorder to watch a sexual act by inducement, threat or deception / CJS: SX03093 / Care workers: sexual activity with a male person with a mental disorder - penetration / CJS: SX03097 / Care workers: sexual activity with a female person with a mental disorder - penetration / CJS: SX03096",6 months or L5 or both / - / -,S 70/16 / S 70/17 / S 70/18,S 70/16 / S 70/17 / S 70/18,S 70/16 / - / -,10 years / 14 years / 14 years,S 70/16 / S 70/17 / S 70/18,S 70/16 / - / -,Yes,2009 or earlier
7019,Sexual Offences Act 2003 ,"S.38(1), (2) & (4)",Care workers: sexual activity with a male person with a mental disorder - no penetration / CJS: SX03095,6 months or L5 or both,S 70/19,S 70/19,S 70/19,10 years,S 70/19,S 70/19,Yes,2009 or earlier
7020,Sexual Offences Act 2003 ,"S.38(1), (2) & (4) / S.39(1) - (3)",Care workers: sexual activity with a female person with a mental disorder - no penetration / CJS: SX03094 / Care workers: causing or inciting sexual activity (person with a mental disorder) - penetration / CJS: SX03099,6 months or L5 or both / -,S 70/20 / S 70/21,S 70/20 / S 70/21,S 70/20 / -,10 years / 14 years,S 70/20 / S 70/21,S 70/20 / -,Yes,2009 or earlier
7022,Sexual Offences Act 2003,"S.39(1), (2) & (4)",Care workers: causing or inciting sexual activity (person with a mental disorder) - no penetration / CJS: SX03098,6 months or L5 or both,S 70/22,S 70/22,S 70/22,10 years,S 70/22,S 70/22,Yes,2009 or earlier
7023,Sexual Offences Act 2003 ,S.40,Care workers: sexual activity in the presence of a person with a mental disorder / CJS: SX03100,6 months or L5 or both,S 70/23,S 70/23,S 70/23,7 years,S 70/23,S 70/23,Yes,2009 or earlier
7024,Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 ,"S.41 / S.47(1)(a), (b) & (c)(ii), (2), (3 ) & (6) / S.47(1)(a), (b) & (c)(ii), (2), (3 ) & (6) / S.47(1)(c)(i), (2) & (4)(b) / S.47(1)(c)(i), (2) & (4)(b) / S.47(1)(c)(i), (2), (4)(a) & (6) / S.47(1)(c)(i), (2), (4)(a) & (6)",Care Workers: causing a person with mental disorder impeding choice to watch a sexual act / CJS: SX03101 / Paying for sex with a female child under 13 - penetration / CJS: SX03104 / Paying for sex with a male child under 13 - penetration / CJS: SX03105 / Paying for sex with a female child under 16 - no penetration / CJS: SX03102/6 / Paying for sex with a male child under 16 - no penetration / CJS: SX03103/7 / Paying for sex with a female child under 16 - penetration / CJS: SX03109 / Paying for sex with a male child under 16 - penetration / CJS: SX03108,6 months or L5 or both / - / - / - / 6 months or L5 or both / - / -,S 70/24 / S 71/02 / S 71/03 / S 71/04 / S 71/05 / S 71/14 / S 71/15,S 70/24 / S 71/02 / S 71/03 / S 71/04 / S 71/05 / S 71/14 / S 71/15,S 70/24 / - / - / - / - / - / -,7 years / Life / Life / 14 years / 14 years / 14 years / 14 years,S 70/24 / S 71/02 / S 71/03 / S 71/04 / S 71/05 / S 71/14 / S 71/15,S 70/24 / - / - / - / - / - / -,Yes,2009 or earlier
7106,Sexual Offences Act 2003 ,"S.47(1)(a), (b), (c)(i), (2) & (5)",Paying for sex with a female child 16 or 17 / CJS: SX03110,6 months or L5 or both,S 71/06,S 71/06,S 71/06,7 years,S 71/06,S 71/06,Yes,2009 or earlier
7107,Sexual Offences Act 2003,"S.47(1)(a), (b), (c)(i), (2) & (5)",Paying for sex with a male child 16 or 17 / CJS: SX03111,6 months or L5 or both,S 71/07,S 71/07,S 71/07,7 years,S 71/07,S 71/07,Yes,2009 or earlier
7108,Sexual Offences Act 2003,S.48(1)(a) & (b)(i) & (2),Causing or inciting child prostitution or pornography - child 13 to 17 / CJS: SX03113,6 months or L5 or both,S 71/08,S 71/08,S 71/08,14 years,S 71/08,S 71/08,Yes,2009 or earlier
7111,Sexual Offences Act 2003 ,S.48(1)(a) & (b)(ii) & (2),Causing or inciting child prostitution or pornography - child under 13 / CJS: SX03112,6 months or L5 or both,S 71/11,S 71/11,S 71/11,14 years,S 71/11,S 71/11,Yes,2009 or earlier
7109,Sexual Offences Act 2003,S.49(1)(a) & (b)(i) & (2),Controlling a child prostitute or a child involved in pornography - child 13 - 17 / CJS: SX03115,6 months or L5 or both,S 71/09,S 71/09,S 71/09,14 years,S 71/09,S 71/09,Yes,2009 or earlier
7112,Sexual Offences Act 2003 ,S.49(1)(a) & (b)(ii) & (2),Controlling a child prostitute or a child involved in pornography - child under 13 / CJS: SX03114,6 months or L5 or both,S 71/12,S 71/12,S 71/12,14 years,S 71/12,S 71/12,Yes,2009 or earlier
7110,Sexual Offences Act 2003 ,S.50(1)(a) & (b)(i) & (2),Arranging or facilitating child prostitution or pornography - child 13 - 17 / CJS: SX03117,6 months or L5 or both,S 71/10,S 71/10,S 71/10,14 years,S 71/10,S 71/10,Yes,2009 or earlier
7113,Sexual Offences Act 2003 ,S.50(1)(a) & (b)(ii) & (2),Arranging or facilitating child prostitution or pornography - child aged under 13 / CJS: SX03116,6 months or L5 or both,S 71/13,S 71/13,S 71/13,14 years,S 71/13,S 71/13,Yes,2009 or earlier
16701,Sexual Offences Act 2003 / added by / Policing and Crime Act 2009,S.51A / S.19,Soliciting another for the purpose of obtaining their sexual services as a prostitute in a street or public place / CJS: SX03213,L3,-,167/01,167/01,-,-,167/01,Yes,2010 April
2417,Sexual Offences Act 2003 ,S.52,Causing or inciting prostitution for gain / CJS: SX03118,6 months or L5 or both,S 24/17,S 24/17,S 24/17,7 years,S 24/17,S 24/17,Yes,2009 or earlier
2418,Sexual Offences Act 2003 ,S.53,Controlling prostitution for gain / CJS: SX03119,6 months or L5 or both,S 24/18,S 24/18,S 24/18,7 years,S 24/18,S 24/18,Yes,2009 or earlier
16702,Sexual Offences Act 2003 / added by / Policing and Crime Act 2009,S.53A / S.14,"Paying or promising to pay a person to provide sexual services, where that person is subject to exploitative conduct to induce or encourage them to provide those services / CJS: SX03212",L3,-,167/02,167/02,-,-,167/02,Yes,2010 April
7201,Sexual Offences Act 2003 ,S.57,Trafficking into the UK for sexual exploitation / CJS: SX03120,6 months or L5 or both,S 72/01,S 72/01,S 72/01,14 years,S 72/01,S 72/01,Yes,2009 or earlier
7202,Sexual Offences Act 2003 ,S.58,Trafficking within the UK for sexual exploitation / CJS: SX03121,6 months or L5 or both,S 72/02,S 72/02,S 72/02,14 years,S 72/02,S 72/02,Yes,2009 or earlier
7203,Sexual Offences Act 2003 ,S.59,Trafficking out of the UK for sexual exploitation / CJS: SX03122,6 months or L5 or both,S 72/03,S 72/03,S 72/03,14 years,S 72/03,S 72/03,Yes,2009 or earlier
7204,Sexual Offences Act 2003 / as inserted by: Protection of Freedoms Act 2012,59A(1)(a) & (6),Intentionally arrange / facilitate the arrival in / entry into the UK / another country of a person with a view to their sexual exploitation / CJS: SX03217,6 months or fine of both*,72/04,72/04,72/04,14 years,72/04,72/04,Yes,2013
7205,Sexual Offences Act 2003 / as inserted by: Protection of Freedoms Act 2012,59A(1)(b) & (6),Intentionally arrange / facilitate travel of a person w/i the UK / another country with a view to their sexual exploitation / CJS: SX03218,6 months or fine of both*,72/05,72/05,72/05,14 years,72/05,72/05,Yes,2013
7206,Sexual Offences Act 2003 / as inserted by: Protection of Freedoms Act 2012,59A(1)(c) & (6),Intentionally arrange / facilitate the departure of a person from the UK / another country with a view to their sexual exploitation / CJS: SX03219,6 months or fine of both*,72/06,72/06,72/06,14 years,72/06,72/06,Yes,2013
8805,Sexual Offences Act 2003 ,S.61,Administering a substance with intent / CJS: SX03123,6 months or L5 or both,S 88/05,S 88/05,S 88/05,10 years,S 88/05,S 88/05,Yes,2009 or earlier
8806,Sexual Offences Act 2003,S.62,Committing an offence with intent to commit a sexual offence / CJS: SX03124,6 months or L5 or both,S 88/06,S 88/06,S 88/06,10 years,S 88/06,S 88/06,Yes,2009 or earlier
